Code	Repository	GeneName	GeneSymbol	MotifLength
AHR_HUMAN.H10MO.B	HOCOMOCOv10	AHR	AHR	9
AIRE_HUMAN.H10MO.C	HOCOMOCOv10	AIRE	AIRE	18
ALX1_HUMAN.H10MO.B	HOCOMOCOv10	ALX1	ALX1	12
ALX3_HUMAN.H10MO.D	HOCOMOCOv10	ALX3	ALX3	11
ALX4_HUMAN.H10MO.D	HOCOMOCOv10	ALX4	ALX4	12
ARNT2_HUMAN.H10MO.D	HOCOMOCOv10	ARNT2	ARNT2	12
ARNT_HUMAN.H10MO.B	HOCOMOCOv10	ARNT	ARNT	8
ARX_HUMAN.H10MO.D	HOCOMOCOv10	ARX	ARX	13
ASCL2_HUMAN.H10MO.D	HOCOMOCOv10	ASCL2	ASCL2	14
ATF1_HUMAN.H10MO.B	HOCOMOCOv10	ATF1	ATF1	11
ATF2_HUMAN.H10MO.B	HOCOMOCOv10	ATF2	ATF2	9
ATF3_HUMAN.H10MO.A	HOCOMOCOv10	ATF3	ATF3	9
ATF6A_HUMAN.H10MO.B	HOCOMOCOv10	ATF6A	ATF6	12
ATF7_HUMAN.H10MO.D	HOCOMOCOv10	ATF7	ATF7	11
ATOH1_HUMAN.H10MO.D	HOCOMOCOv10	ATOH1	ATOH1	11
BACH1_HUMAN.H10MO.A	HOCOMOCOv10	BACH1	BACH1	13
BARX1_HUMAN.H10MO.D	HOCOMOCOv10	BARX1	BARX1	17
BARX2_HUMAN.H10MO.D	HOCOMOCOv10	BARX2	BARX2	10
BATF3_HUMAN.H10MO.D	HOCOMOCOv10	BATF3	BATF3	12
BATF_HUMAN.H10MO.A	HOCOMOCOv10	BATF	BATF	18
BATF_HUMAN.H10MO.S	HOCOMOCOv10	BATF	BATF	10
BCL6B_HUMAN.H10MO.D	HOCOMOCOv10	BCL6B	BCL6B	11
BCL6_HUMAN.H10MO.C	HOCOMOCOv10	BCL6	BCL6	16
BMAL1_HUMAN.H10MO.C	HOCOMOCOv10	BMAL1	ARNTL	14
BPTF_HUMAN.H10MO.D	HOCOMOCOv10	BPTF	BPTF	12
BRCA1_HUMAN.H10MO.D	HOCOMOCOv10	BRCA1	BRCA1	9
CDC5L_HUMAN.H10MO.D	HOCOMOCOv10	CDC5L	CDC5L	15
CDX1_HUMAN.H10MO.C	HOCOMOCOv10	CDX1	CDX1	8
CDX2_HUMAN.H10MO.C	HOCOMOCOv10	CDX2	CDX2	8
CEBPA_HUMAN.H10MO.A	HOCOMOCOv10	CEBPA	CEBPA	13
CEBPB_HUMAN.H10MO.A	HOCOMOCOv10	CEBPB	CEBPB	12
CEBPD_HUMAN.H10MO.B	HOCOMOCOv10	CEBPD	CEBPD	11
CEBPE_HUMAN.H10MO.A	HOCOMOCOv10	CEBPE	CEBPE	12
CEBPG_HUMAN.H10MO.C	HOCOMOCOv10	CEBPG	CEBPG	13
CEBPZ_HUMAN.H10MO.D	HOCOMOCOv10	CEBPZ	CEBPZ	11
CENPB_HUMAN.H10MO.D	HOCOMOCOv10	CENPB	CENPB	17
CLOCK_HUMAN.H10MO.D	HOCOMOCOv10	CLOCK	CLOCK	20
COE1_HUMAN.H10MO.A	HOCOMOCOv10	COE1	EBF1	15
CPEB1_HUMAN.H10MO.D	HOCOMOCOv10	CPEB1	CPEB1	17
CREB1_HUMAN.H10MO.A	HOCOMOCOv10	CREB1	CREB1	11
CREB3_HUMAN.H10MO.D	HOCOMOCOv10	CREB3	CREB3	13
CREB5_HUMAN.H10MO.D	HOCOMOCOv10	CREB5	CREB5	11
CREM_HUMAN.H10MO.C	HOCOMOCOv10	CREM	CREM	11
CRX_HUMAN.H10MO.C	HOCOMOCOv10	CRX	CRX	8
CTCFL_HUMAN.H10MO.A	HOCOMOCOv10	CTCFL	CTCFL	19
CTCF_HUMAN.H10MO.A	HOCOMOCOv10	CTCF	CTCF	20
CUX1_HUMAN.H10MO.C	HOCOMOCOv10	CUX1	CUX1	14
CUX2_HUMAN.H10MO.D	HOCOMOCOv10	CUX2	CUX2	21
CXXC1_HUMAN.H10MO.D	HOCOMOCOv10	CXXC1	CXXC1	7
DBP_HUMAN.H10MO.B	HOCOMOCOv10	DBP	DBP	11
DDIT3_HUMAN.H10MO.C	HOCOMOCOv10	DDIT3	DDIT3	13
DLX1_HUMAN.H10MO.D	HOCOMOCOv10	DLX1	DLX1	16
DLX2_HUMAN.H10MO.D	HOCOMOCOv10	DLX2	DLX2	8
DLX3_HUMAN.H10MO.C	HOCOMOCOv10	DLX3	DLX3	10
DLX4_HUMAN.H10MO.D	HOCOMOCOv10	DLX4	DLX4	16
DLX5_HUMAN.H10MO.D	HOCOMOCOv10	DLX5	DLX5	14
DLX6_HUMAN.H10MO.D	HOCOMOCOv10	DLX6	DLX6	15
DMBX1_HUMAN.H10MO.D	HOCOMOCOv10	DMBX1	DMBX1	20
DPRX_HUMAN.H10MO.D	HOCOMOCOv10	DPRX	DPRX	11
DRGX_HUMAN.H10MO.D	HOCOMOCOv10	DRGX	DRGX	11
DUXA_HUMAN.H10MO.D	HOCOMOCOv10	DUXA	DUXA	11
E2F1_HUMAN.H10MO.A	HOCOMOCOv10	E2F1	E2F1	14
E2F2_HUMAN.H10MO.B	HOCOMOCOv10	E2F2	E2F2	10
E2F3_HUMAN.H10MO.B	HOCOMOCOv10	E2F3	E2F3	10
E2F4_HUMAN.H10MO.A	HOCOMOCOv10	E2F4	E2F4	14
E2F5_HUMAN.H10MO.B	HOCOMOCOv10	E2F5	E2F5	10
E2F6_HUMAN.H10MO.C	HOCOMOCOv10	E2F6	E2F6	12
E2F7_HUMAN.H10MO.D	HOCOMOCOv10	E2F7	E2F7	13
E2F8_HUMAN.H10MO.D	HOCOMOCOv10	E2F8	E2F8	12
E4F1_HUMAN.H10MO.D	HOCOMOCOv10	E4F1	E4F1	9
EGR1_HUMAN.H10MO.A	HOCOMOCOv10	EGR1	EGR1	18
EGR1_HUMAN.H10MO.S	HOCOMOCOv10	EGR1	EGR1	11
EGR2_HUMAN.H10MO.C	HOCOMOCOv10	EGR2	EGR2	11
EGR3_HUMAN.H10MO.D	HOCOMOCOv10	EGR3	EGR3	11
EGR4_HUMAN.H10MO.D	HOCOMOCOv10	EGR4	EGR4	11
EHF_HUMAN.H10MO.C	HOCOMOCOv10	EHF	EHF	17
EHF_HUMAN.H10MO.S	HOCOMOCOv10	EHF	EHF	13
ELF1_HUMAN.H10MO.A	HOCOMOCOv10	ELF1	ELF1	14
ELF2_HUMAN.H10MO.C	HOCOMOCOv10	ELF2	ELF2	17
ELF3_HUMAN.H10MO.D	HOCOMOCOv10	ELF3	ELF3	14
ELF5_HUMAN.H10MO.D	HOCOMOCOv10	ELF5	ELF5	11
ELK1_HUMAN.H10MO.A	HOCOMOCOv10	ELK1	ELK1	9
ELK3_HUMAN.H10MO.D	HOCOMOCOv10	ELK3	ELK3	12
ELK4_HUMAN.H10MO.A	HOCOMOCOv10	ELK4	ELK4	11
EMX1_HUMAN.H10MO.D	HOCOMOCOv10	EMX1	EMX1	12
EMX2_HUMAN.H10MO.D	HOCOMOCOv10	EMX2	EMX2	12
EOMES_HUMAN.H10MO.D	HOCOMOCOv10	EOMES	EOMES	12
EPAS1_HUMAN.H10MO.D	HOCOMOCOv10	EPAS1	EPAS1	13
ERF_HUMAN.H10MO.D	HOCOMOCOv10	ERF	ERF	20
ERG_HUMAN.H10MO.B	HOCOMOCOv10	ERG	ERG	13
ERR1_HUMAN.H10MO.D	HOCOMOCOv10	ERR1	ESRRA	14
ERR2_HUMAN.H10MO.A	HOCOMOCOv10	ERR2	ESRRB	9
ERR3_HUMAN.H10MO.B	HOCOMOCOv10	ERR3	ESRRG	9
ESR1_HUMAN.H10MO.A	HOCOMOCOv10	ESR1	ESR1	17
ESR1_HUMAN.H10MO.S	HOCOMOCOv10	ESR1	ESR1	18
ESR2_HUMAN.H10MO.A	HOCOMOCOv10	ESR2	ESR2	18
ESR2_HUMAN.H10MO.S	HOCOMOCOv10	ESR2	ESR2	7
ESX1_HUMAN.H10MO.D	HOCOMOCOv10	ESX1	ESX1	17
ETS1_HUMAN.H10MO.C	HOCOMOCOv10	ETS1	ETS1	9
ETS2_HUMAN.H10MO.C	HOCOMOCOv10	ETS2	ETS2	11
ETV1_HUMAN.H10MO.B	HOCOMOCOv10	ETV1	ETV1	22
ETV2_HUMAN.H10MO.D	HOCOMOCOv10	ETV2	ETV2	11
ETV3_HUMAN.H10MO.D	HOCOMOCOv10	ETV3	ETV3	14
ETV4_HUMAN.H10MO.B	HOCOMOCOv10	ETV4	ETV4	8
ETV5_HUMAN.H10MO.D	HOCOMOCOv10	ETV5	ETV5	13
ETV6_HUMAN.H10MO.D	HOCOMOCOv10	ETV6	ETV6	11
ETV7_HUMAN.H10MO.D	HOCOMOCOv10	ETV7	ETV7	17
EVI1_HUMAN.H10MO.B	HOCOMOCOv10	EVI1	MECOM	16
EVX1_HUMAN.H10MO.D	HOCOMOCOv10	EVX1	EVX1	20
EVX2_HUMAN.H10MO.A	HOCOMOCOv10	EVX2	EVX2	12
FEV_HUMAN.H10MO.C	HOCOMOCOv10	FEV	FEV	10
FIGLA_HUMAN.H10MO.D	HOCOMOCOv10	FIGLA	FIGLA	11
FLI1_HUMAN.H10MO.A	HOCOMOCOv10	FLI1	FLI1	13
FOSB_HUMAN.H10MO.C	HOCOMOCOv10	FOSB	FOSB	11
FOSL1_HUMAN.H10MO.A	HOCOMOCOv10	FOSL1	FOSL1	11
FOSL2_HUMAN.H10MO.A	HOCOMOCOv10	FOSL2	FOSL2	11
FOS_HUMAN.H10MO.A	HOCOMOCOv10	FOS	FOS	11
FOXA1_HUMAN.H10MO.A	HOCOMOCOv10	FOXA1	FOXA1	13
FOXA2_HUMAN.H10MO.A	HOCOMOCOv10	FOXA2	FOXA2	11
FOXA3_HUMAN.H10MO.C	HOCOMOCOv10	FOXA3	FOXA3	13
FOXB1_HUMAN.H10MO.D	HOCOMOCOv10	FOXB1	FOXB1	17
FOXC1_HUMAN.H10MO.C	HOCOMOCOv10	FOXC1	FOXC1	15
FOXC2_HUMAN.H10MO.D	HOCOMOCOv10	FOXC2	FOXC2	15
FOXD1_HUMAN.H10MO.D	HOCOMOCOv10	FOXD1	FOXD1	15
FOXD2_HUMAN.H10MO.D	HOCOMOCOv10	FOXD2	FOXD2	19
